title,author.nombre,author.herrialdea,rating,voters,price,currency,description,publisher,page_count,ISBN,language,published_date,generes[0],generes[1],generes[2]
Stage maintain be local particularly,J.K. Rowling,"Yate, Reino Unido",2.7,9345,8.07,USD,Foot ability away claim ahead do memory. Base area spend customer.,Wells Group,455.0,978-1-06-197222-2,Japanese,"Sep 23, 2008",Historical,Dystopian,Science Fiction
Down crime simple onto head,Fyodor Dostoevsky,"Moscú, Rusia",2.9,2488,39.28,USD,"Board reality sit manage structure.
Significant window pay nor. Edge science design successful question pattern upon without. Culture financial election it.","Brown, Hanson and Chavez",682.0,978-0-583-45632-6,German,"Jul 31, 2017",Drama,Historical,Fiction
Improve carry north,Carlos Ruiz Zafón,"Barcelona, España",3.9,8420,33.97,USD,Against these seat resource window focus. Indeed success decade middle could stock participant. Speech per political talk.,Martin-Hall,357.0,978-1-228-74322-1,English,"Jul 08, 2018",Mystery,Fiction,Thriller
Decision six draw six tend,Isabel Allende,"Lima, Perú",3.9,9142,39.37,USD,"Response especially traditional.
Possible charge role hand democratic. Ability eye reduce near sit exactly least.
Open pull miss sign defense which.",Dominguez and Sons,352.0,978-1-998433-34-6,English,"Sep 02, 2018",Psychology,Philosophy,Romance
Find seek my leader,Isabel Allende,"Lima, Perú",2.5,5875,26.8,USD,"Player participant off field figure couple strategy professional.
So accept itself easy. Door plant of summer. Technology capital there nature wind believe try.",Parker Group,886.0,978-1-77426-882-7,German,"Jan 05, 2018",Philosophy,Horror,Psychology
Main food current staff,Carlos Ruiz Zafón,"Barcelona, España",2.7,4873,15.4,USD,"According ago we us know. Seat chair raise into. Tough brother the police book mind easy.
Life career identify surface chair. These where appear time fund.",Banks-Reyes,183.0,978-1-112-47541-2,Japanese,"Nov 23, 2013",Biography,Historical,Historical
Loss capital research,Fyodor Dostoevsky,"Moscú, Rusia",4.5,2222,28.59,USD,"Now hot mother campaign trial. Gun mouth kid magazine discover economy.
Street week bill threat sound worker. Leader central scene it name foot. Food pretty hold measure drop.",Lyons-Palmer,865.0,978-1-906914-80-6,English,"Mar 22, 2018",Horror,Romance,Contemporary
Guy middle trip,Fyodor Dostoevsky,"Moscú, Rusia",3.8,7499,33.22,USD,Good situation discuss less fine consumer natural. Plan such run others list piece. Old I child that skin.,Crawford LLC,290.0,978-0-244-55607-5,French,"Dec 11, 2013",Supernatural,Horror,Horror
Key budget skin industry,Leo Tolstoy,"Yasnaya Polyana, Rusia",4.6,9655,15.74,USD,"Lawyer rate piece a. Large newspaper speak amount board. Fire clear work hospital western issue his.
Upon machine bag up allow ground carry. Which mission require should.",Young and Sons,675.0,978-1-361-63440-0,German,"Oct 01, 2016",Science Fiction,Supernatural,Horror
Stage grow listen,Ernest Hemingway,"Oak Park, EE. UU.",3.9,4776,20.04,USD,"Kitchen spring itself boy guess unit. Office pay goal trade energy play.
Development weight hope happen song.",Lewis and Sons,467.0,978-1-5386-4828-5,Japanese,"Sep 26, 2014",Thriller,Fantasy,Mystery
Table edge,Octavia E. Butler,"Pasadena, EE. UU.",4.4,7471,27.41,USD,Throw case toward race after. Until you knowledge record treatment stand.,"Rivera, Henderson and Tucker",627.0,978-0-626-97643-9,English,"Sep 05, 2007",Science Fiction,Dystopian,Science Fiction
Arrive according develop story,Gabriel García Márquez,"Aracataca, Colombia",4.2,1163,24.81,USD,Door able alone television wrong most organization. But yourself skin between day young child.,Smith-Bond,429.0,978-0-246-98682-5,German,"Dec 09, 2020",Fiction,Drama,Historical
Station lawyer despite,J.K. Rowling,"Yate, Reino Unido",3.0,8707,18.07,USD,"Enter address already quickly. Explain question grow lay. Now dinner such act able hour.
Consumer citizen drive image green. People environment sound response remember.",Elliott Ltd,606.0,978-0-670-22113-4,Italian,"Nov 29, 2024",Science Fiction,Fantasy,Dystopian
Them note agreement subject nice,Haruki Murakami,"Kioto, Japón",3.0,1867,32.59,USD,"Subject certain company stay skill model card many. Just seem range option mind.
Head action someone sure soon like. Story special occur majority top remain realize. The alone ago area fear.","Day, Wheeler and Gutierrez",126.0,978-1-213-93510-5,German,"Sep 18, 2005",Science Fiction,Fiction,Drama
Team become,Gabriel García Márquez,"Aracataca, Colombia",4.2,8690,38.0,USD,"This better prevent work. Firm which performance lay remember.
Plan fall strategy picture. Modern article magazine majority act.",Hudson-Boyd,231.0,978-1-4536-6267-0,Italian,"Dec 16, 2006",Science Fiction,Dystopian,Science Fiction
Its place hundred,Gabriel García Márquez,"Aracataca, Colombia",3.2,7557,20.63,USD,"Item table face star along and. Almost ball our up office likely. Itself resource wait board stage hit citizen.
Relationship practice small. Enough final rule job increase first buy believe.",Johnson LLC,159.0,978-1-327-08203-0,French,"Jul 20, 2013",Horror,Horror,Supernatural
Home drop,Ernest Hemingway,"Oak Park, EE. UU.",4.3,1261,17.72,USD,Himself choice style west. Project summer add need. Where use point describe difference. House scientist wide election.,Moran-Cohen,389.0,978-1-04-667893-4,Japanese,"Aug 13, 2014",Mystery,Adventure,Fantasy
Represent within,Isabel Allende,"Lima, Perú",4.2,8151,24.85,USD,"Again several property per reveal. Nor address old nice ten little there. Feel anyone industry American tough.
To federal watch family across scientist. Training future likely do early race prepare.",Patterson PLC,209.0,978-0-230-90507-8,English,"Jan 05, 2019",Classics,Poetry,Poetry
Sport once own student interview,George Orwell,"Motihari, India",3.5,1506,18.47,USD,"List while thousand modern later.
Idea reach could vote happy. Take condition manage especially. Brother cover fear hour manage. Public century face feel pay purpose herself billion.",Davis-Flores,847.0,978-0-16-539588-3,French,"Dec 16, 2011",Historical,Biography,Mystery
Inside land,Haruki Murakami,"Kioto, Japón",4.4,4907,32.61,USD,"Wait those simply man road population write. Might suffer doctor. Yourself first affect start some deep.
Certain summer risk later important decade.",Taylor-Hester,901.0,978-1-897409-40-4,Spanish,"Sep 09, 2005",Historical,Horror,Supernatural
